,分数,影评
2466,推荐,"开头不知道为什么一直是黑白的，看到中间才知道原因。 「如果伊恩再也找不到凯莉的话，那世界再也没有色彩了。」 这样的文艺青春片，反正最后两个人是肯定不会在一起。 「后来，我们什么都有了，却没有了我们。」 没谈过恋爱，好像是不能感同身受了，对我而言最大的泪点就是最...

                         (展开)"
2467,还行,"看完了后来的我们，感觉这就是靠后来这首歌才能如此红火，周冬雨怎么演感觉那个中二少女的形象改变不了，井柏然就不说啥了，反正妹子们喜欢，不知道现在是不是有点名气的人都要操刀一把导演，刘若英把这部回忆录拍的感受不到哪里是因为爱情而动容的地方，其中的一些爱情段子也...

                         (展开)"
2468,推荐,"这篇影评可能有剧透

                        版权归作者所有，任何形式转载请联系作者。 作者：刀惜（来自豆瓣） 来源：https://www.douban.com/note/667629543/ 缘分这件事，不负对方就好了，想不负此生是很难的。from《后来的我们》 《复仇者联盟3》已经在香港提前上映，古天乐发长文称""大家都知道我是星战迷，因为一直...

                         (展开)"
2469,推荐,"不懂为什么那么多人会喷。我觉得这部电影还是蛮出彩的。前期很多细节非常有代入感，很真实。演员都演得挺好的。不到三十岁的井柏然可以演出三十四五岁的沧桑，机灵活泼的周冬雨演出了爱情的绝望，田壮壮老师眼里满满都是对见清的父爱如山。情感都很真实。结局没有很圆满的在一...

                         (展开)"
2470,还行,"说实话，我是冲着刘若英的那首叫做《后来》的歌去观看影片的，可是啊，这电影太让我失望，走的都是一些老的不能在老的桥段，可能是我没有“故事”吧，所以不能感同身受，所以打动不了我。 整部影片感触最深的就是那老父亲，每年的年夜饭都会做儿子最爱吃的菜，从2006到2015，围...

                         (展开)"
2471,推荐,"这篇影评可能有剧透

                        （涉及严重剧透） 提早了半个月买的预售票，无论是后来这首歌也好，还是铺垫了很久的《我们》、《爱了很久的朋友》，加上首映的各种造势，我都对这部影片产生了很大的期待，恨不得一转眼就到28号，这天终于来了，看之前我去看了大家的评价，1🌟占了大篇幅，看完心情有点down...

                         (展开)"
2472,力荐,"“上九天揽月 下五洋捉鳖” “后来的我们 什么都有了 却没有我们” “你爱过我吗” “你爱过我吗” “我一直都爱你” 老实说 很久没有因为爱情片哭的稀里哗啦了 周冬雨依然让我惊喜 井柏然也是真的成长了 全世界都在为前任三哭的时候 我也没觉得难过 我也没有一个曾经一起吃苦 ...

                         (展开)"
2473,较差,"感觉导演活在自己的世界里，刘若英肯定没和前任重逢过，我不喜欢这个价值观，爱情不是生活的全部，只有你俩是爱情，男主和其他人在一起就是凑活过吗…旧情人只适合无聊的时候自我陶醉，没你想的那么重要，生活的不如意也不归咎于没和所谓的最爱的人在一起。男主的奋斗轨迹也很...

                         (展开)"
2474,较差,"如标题所示，昨天刚看完电影完全不知道这部电影要传递给我们什么样的思想，是不要忘了初心？还是遇到对的人的时候要懂得珍惜呀？反正我没get到主题！这部片子讲的是一对青梅竹马在北京的爱恨情仇，影片是回忆式的，很多年后再次相遇，一起回忆当初在北京的工作，爱情。还是通常...

                         (展开)"
2475,力荐,"so touching！the leading girl is a good girl.she is outgoing and expresses her love and unhappiness directly. She wanted to stay in Beijing but she won’t cheat her heart any more.although the leading boy is poor she loves him.what is more the boy’s father...

                         (展开)"
2476,还行,"我觉得先抛开剧情来讲的话，退票这件事情就有点让人反感了，影响这部电影的路人缘 起初这部电影的主角都是比较喜欢的  两者都是有比较丰富的演戏经验的，但是看了大部分的评论都是在吐槽，在滥用浪漫的情怀，还有文艺的气息。还说什么？因为穷的太过分了，导致感觉对生活都没有...

                         (展开)"
2477,推荐,"这篇影评可能有剧透

                        因为致青春2的阴影就不想看青春片的，这次是想着假期看下冬雨妹子，虽然剧情和三观有bug，比如有妇之夫和前任单独共处一室，台词也有些刻意矫情，以及有非常经典的“你根本就不懂我想要什么”男女对话桥段（当然我也没懂小晓当时要的什么毕竟见青一没放弃梦想二也顾及到供养爱...

                         (展开)"
2478,还行,"听名字很容易误会又是一部狗血青春片，但是不是。关于情节，本来生活中所有故事的开头和结局都狗血，因为爱而在一起，因为两个人的信念不一样而分开，可以说是现实，但狗血这个词不合适。可能是女性视角的原因，两个主人公，我更偏爱周冬雨饰演的方小晓，我们每个人都可能是井...

                         (展开)"
2479,推荐,"这篇影评可能有剧透

                        这是一个关于错过的爱情故事，同时又包裹着回家过年的亲情在里面，里面出现的林见清，方小晓和林爸爸让人熟悉的就好像身边的亲人朋友甚至我们自己。电影从里到外都透着奶茶的气息，有时候文艺的过分，有时候抒情的尴尬，但是一点都不讨厌。另外还有一点的是，从这部电影里看到...

                         (展开)"
2480,推荐,"这篇影评可能有剧透

                        看这部电影之前，我并没有特意为它去电影院的打算。毕竟一贯以来的爱情片套路里都是烂俗，少有能交出满意的答卷的导演。前期刘导情怀卖的很好，而五一档又没有什么事，我也就抱着消磨时间的打算去看这部片子。 还是要说句公道话，这部电影剧情没有那么烂俗，没有拍的像其他爱情...

                         (展开)"
2481,力荐,"老公，你已经很多天没有出现了。QQ也不见你上线的痕迹。你的气息，似乎在我这里越来越浅，而记忆却越来越深，你就像我青春最后的符号。摸不着，却深深得爱着。我爸爸去世50多天了，我依然给他充着话费，我试着打了好几次他的电话，刚开始是没信号，到后来的关机。 今天下午我一...

                         (展开)"
2482,推荐,"《后来》的故事，作为处女作可算惊艳，带着作者忧伤的文艺的气质。人物背景结合时代略有漏洞，但不妨碍传递细腻的感情。 有关爱情的歌有很多，只有这首在每个阶段听都能怀着不同的心情。看完电影，别人的故事是别人的，除了不要对号入座以外，别自以为是，别留遗憾。 已经无法...

                         (展开)"
